comment_content,comment_rate,comment_time,comment_vote,comment_author
保镖和杀手一路斗嘴惺惺相惜互诉衷肠对老婆的爱才是本片的主题，至于戳破白俄罗斯总统的阴谋，挖出国际刑警的内鬼什么的只是捎带脚儿。搞笑的部分大多数都在预告片中出现了，动作戏不少却多而不精，车船摩托三方人马追逐的那场戏最流畅最好看。某些爆炸的特效看起来稍假。沙马海耶克身材还是那么劲爆。,allstar30 rating,2017-08-18 23:30:44,8,E7EVEN
一黑一白，全程互怼，由敌变友，都是经典套路，但由于演员的缘故有额外趣味: 竟然有人在嘴炮方面压制了贱贱，大快人心。小贱坐在街头喝酒忧伤控诉局长，身后一片鸡飞狗跳，瞬间跳戏到UNCLE里亨利吃三明治身后锤子跟人搏斗，小贱被拷打时局长现身也是UNCLE同款。局长在窗口放花一幕，想起丁典和凌霜华。,allstar40 rating,2017-08-30 19:16:43,11,张天翼
这年头拍动作片不玩点有趣的人物设计或者有个好的音乐品味，好像都无法立足阵脚了哈哈。一向让我觉得”伟光正“的Ryan Reynolds这两年太好玩了...这角色的丧气和喜感和小贱贱一样深得我心！感染得连和Jackson搭戏都是火花十足。本想随便看看就算了，但这份好玩劲还是让我愿意去电影院再放松一把~,allstar30 rating,2017-08-29 22:30:27,7,基瑞尔
多好看啊！这才是直男荷尔蒙娱乐片，内里还有点小浪漫.....#真实的想吞Ryan#,allstar40 rating,2017-09-03 13:07:08,4,朝阳区白百合
所以是死侍和局长一路耍贱打怪最后打倒大boss顺便成全死侍艾丽卡小夫妻的故事。俩人都一路打嘴炮，贱贱还是那一服贱兮兮，局长的笑不要太魔性，也真的是singlehandedly ruined the word “motherfucker”…阿姆的大段车、艇追逐大赞！可惜中间来回穿插回忆略显鸡肋，两个女主的塑造也是抓不住重点。,allstar30 rating,2017-08-29 22:28:19,11,zykmilan
Motherfucker只有在Samuel Jackson嘴里冒出来才叫Motherfucker。,allstar30 rating,2017-08-29 08:27:21,9,幻覺大師
"""Who am I to you"" ""Treasure""",allstar50 rating,2017-05-26 04:53:12,4731,陆嘉辰
好无聊的剧情，唯一感想是，反派杀了那么多人努力了那么久就是为了恢复美貌啊，破除诅咒恢复美貌的那一刻每个反派都抚摸着脸庞露出了欣喜的表情，可见美貌对人类对世界都太重要了。,allstar30 rating,2017-05-26 12:41:55,2372,小烨
说一句，年轻的船长真他妈的帅！,allstar50 rating,2017-05-26 07:57:43,2976,蛋蛋的忧伤
娱乐性还可以，就是剧情一股陈年隔夜饭的味道。迪士尼安利大团圆的心突破天际，难怪最后连船长都一脸嫌弃：噁！曾经貌美如花的德普现在只能搭配小鲜肉来卖片了，soooooooo sad...,allstar30 rating,2017-05-25 17:11:35,1187,同志亦凡人中文站
【C+】这个系列从第一部就有的问题在于，杰克船长是个亦正亦邪又太不正经的人，以至于人物的成长，情感线只能全盘交给配角，那么单靠重复的海上冒险就很容易令人厌倦。新故事新角色都在复刻第一部，找宝藏的线索也很弱，但还好不像4连动作场面的想象力都没了。总的来说适合无脑观众观看，比如我。,allstar40 rating,2017-05-26 02:43:15,1260,掉线
"“如果你要勾搭一个妹子，就别被她的姐妹吸引，如果已经被她的姐妹吸引了，就干掉她的兄弟”全片最佳的是杰克和他的断头台的圆周运动啊真是笑死。还有还有“我是一个钟表学家” “做婊没什么不好意思的…” ……“我到底是你的什么？”巴伯撒的那句“Treasure”真是一个爆哭(；へ：)",allstar50 rating,2017-05-24 14:13:33,1083,ฅ^•ﻌ•^ฅ
真的越来越无聊 视觉效果甚至还倒退了 故事也就是乱编 骗眼泪都没诚意 这个系列可以不用再拍了,allstar20 rating,2017-05-25 22:13:07,805,Alan
《加勒比海盗5：死无对证》特效非常不错，不像咱们倒模居然是用来当替身的。这是一部没有惊喜，也没有太多缺陷的续作，如果你已然熟悉了加勒比海盗剧情的套路，那么其实你很容易便能猜到这部电影剧情的走向，但即便是这样却又不得不说这场五部曲依旧还是拥有着那独属”加勒比海盗“的魅力。,allstar40 rating,2017-05-25 10:06:26,983,电影爱好者
没4那么尬，没2、3那么拖，娱乐性提升。子救父、父救女、Will&Elizabeth10年重逢挺感动，但彩蛋告诉你该系列套路就是把复活的弄死，死了的又弄活，狂打情怀难救缺新意强续集颓势。号称很强的反派废得跟MCU里出来似的。《速5》抢金库遛保险箱，《加5》抢银行直接遛银行，怎么看都像模仿，求别再强拍了！,allstar20 rating,2017-05-25 15:23:15,727,瓦力
有的片子说不清哪里好 就是每一部上映都会看。CG做的年轻船长没有德普叔本人年轻时候帅啊……还有那个girl我想了半天 是skins里的Effy呀!!!,allstar40 rating,2017-05-26 01:47:38,758,元气小姐。
"以为会扑却感觉比预期要好,起码从头打到尾没有尿点。笑点也有,感觉是不坑爹的一部续作,看得出来迪斯尼财大气粗且没有玩票。布鲁姆龙套,奈特丽超级龙套。新男女主颜值担当,却不是我的菜。",allstar40 rating,2017-05-25 05:40:21,454,LORENZO
空洞的笑点、无聊的情节。急吼拉吼把前三部的遗留问题解决，顺便搬了几个老面孔叙叙情怀。传说中的海王波塞冬之墓在这片中搞得像旅游景点一样，随随便便就找到了。片尾彩蛋让人虎躯一震，但又非常吃老本，呵呵，这个系列看来老本要一直这么吃下去了~~~2017.5.11 全球首映礼 上海华特·迪士尼大剧院,allstar20 rating,2017-05-13 08:53:41,349,科林
我就想知道那艘战斗力逆天的鬼船最后去哪儿了。,allstar30 rating,2017-05-26 16:54:58,298,武侠小王子
没有了灵魂的杰克船长也无关海盗与冒险，这样的加勒比海盗是没有必要继续下去了的.连丧妻狂导演诺兰拍的爱情故事都会比这动人.更不用说那用之即弃的父亲们、木偶一般又自相矛盾的配角和反派.这不是一部非常难看的电影，但百分百是部烂片.,allstar10 rating,2017-05-26 02:37:41,278,Nhm0122
难看cry，过了一个小时三个主角才汇合，一个半小时才搞到船，还以为我在看树大招风。,allstar20 rating,2017-05-26 14:36:27,185,阿暖
王大根吐槽说是《老人与海》结果还真出现了小船斗大鱼的剧情，笑惨我了！被抓坐牢，死刑时被救，大冒险顺利，一切都很套路。视效好看，海水分离，年轻版船长好嫩，认父情节是最近的大势？反派的头发一直在空中飘逸，和满神用的同款洗发水么！,allstar30 rating,2017-05-24 10:13:48,228,kakakarl
西班牙无敌舰队还魂 一口咬碎日不落帝国海军 罗宾带队截获海王秘宝 迪斯尼改写历史正文,allstar40 rating,2017-05-26 02:36:49,171,文泽尔
当年的证婚人成了现在的亲家，海盗交际圈真是太小了。,allstar40 rating,2017-05-28 13:59:12,149,伊谢尔伦的风
系列最差。本来以为第四部已经够差了，没想到这一部继续刷新下限，系列最短的两小时时长导致的结果就是除去各种卖情怀之外什么都没有，所有的戏都像是在赶进度。如果维宾斯基不回归，这个系列算是完蛋了,allstar20 rating,2017-05-26 15:38:49,142,舌在足矣
继续消耗德普与原声魅力，剧情套路深似海。,allstar20 rating,2017-05-26 20:52:48,128,纬誺
黄渤是罪犯，为了写新书搜集材料接近家暴女性，想起了小时候母亲家暴的遭遇，动手杀人。为了掩盖犯罪事实，跑去删除记忆，结果删除太彻底，他自己都忘记干过这事儿了。。。记忆重载后，一开始以为是别人的记忆，跑去警察局提供线索，结果记起来的事情越来越多。。。这样是不是更合理？,allstar40 rating,2017-04-28 15:40:50,5263,沈尘
跟段奕宏一撞之下一见钟情的可能性还比较大，跟黄渤这个就……着实不太可能了吧。,allstar30 rating,2017-04-28 14:23:13,5062,王大根
